"fips","pertrump","county","state","permale","med_age","nevermarried","widowed","fromdifstate","fromabroad","divorced","foodstamp","Marriedcouplefamily","single_mom","inschool","inundergrad","ingradprofesh","lessthan_hs","bachplus","med_income","gini","singledad","withkids","med_2bed","foreignborn","unemployed_rate","employed_rate","no_health_ins","dis5to17","dis18to34","dis35to64","pop_density","housing_density","pct_all_in_pov","police_violence_score","police_accountability_score","approach_to_policing_score","police_funding_score","mean_hha_score","svi_overall","res_seg_nonwhite_white","pct_child_in_pov","sev_hou_cost_burden","sev_hou_prob","poor_fair_health","spend_per_capita","unemp_bens_possible","saversperhouses","ForeignBornEuropePct","ForeignBornMexPct","ForeignBornCaribPct","ForeignBornCentralSouthAmPct","ForeignBornAsiaPct","ForeignBornAfricaPct","AvgHHSize","PopChangeRate1819","NonEnglishHHNum","PctEmpChange1920","PctEmpConstruction","PctEmpMining","PctEmpTrade","PctEmpTrans","PctEmpInformation","PctEmpFIRE","Deep_Pov_Children","PerCapitaInc","Deep_Pov_All","incar_rate","theftrate"
1005,0.534512264689104,"Barbour","Alabama",0.529198375458381,40.4,0.2932849651039,0.0660857221718387,0.0190449903394977,0.00279957414928433,0.0992468751232207,0.126138559205079,0.639728462906093,0.142072086633263,0.203067702377666,0.0286266314419778,0.00390363156026971,0.1897401522022,0.0820156933874847,32525,0.4883,0.0353967997413932,0.384031032810732,565,0.0271676984346043,0.0940804667558041,0.905919533244196,0.0925831000354876,0.0188478372303931,0.0189661290958558,0.0694767556484366,28.0359057694646,13.2800495251993,0.309,50.8333333333333,29,54,38.6666666666667,0,0.9959,23.449712509,0.439,0.1405954631,0.1458333333,0.2959180171,8768,7150,0.0151527396153225,0.224754544,1.281495209,0.011829187,1.943929656,0.449509089,0,2.41,-0.748,151,-2.4,6.810887912,0,12.81350291,6.632592417,0.606204683,3.720432664,31.49171271,18473,15.04215551,0.0997898743210562,0.0179803635503332
1015,0.688484396759704,"Calhoun","Alabama",0.481084995375944,39.6,0.237816049835104,0.0618053010870893,0.0219599015861383,0.001134202306793,0.10631837931215,0.0737842223734492,0.701869158878505,0.0960947930574099,0.235373152558935,0.0551745799089148,0.0078608944493884,0.107443856985814,0.127554136348567,47255,0.4633,0.0304072096128171,0.385881174899867,662,0.0266188556771188,0.0738958333333333,0.926104166666667,0.0877698092795198,0.0162452668865274,0.0177197298853583,0.0969568479645431,187.177267902343,87.5822650445007,0.195,47.125,29,59.25,39.375,0,0.8252,40.68118287,0.265,0.1172243222,0.1373419126,0.2310773322,8768,7150,0.0110385275605569,0.485962065,0.993735713,0.073286918,1.29037324,0.697098187,0.094226038,2.5,-0.635,423,-3.3,5.687322532,0.346584266,15.3081677,4.518122599,1.448972774,4.288458326,11.30901549,25345,7.388248373,0.00879415326216711,0.000802666247884276
1019,0.860336558003414,"Cherokee","Alabama",0.49326332857198,46.5,0.168011427247809,0.0647415357294522,0.0163687603752461,0.00042466123615025,0.101995907809906,0.0682932478863452,0.824414944573696,0.0372245791706583,0.195382774196039,0.0258657298382427,0.00552059606995329,0.134270161757325,0.0929235995830599,41919,0.4515,0.0176543040919666,0.324893937320378,605,0.00857043585685056,0.0458922351977054,0.954107764802295,0.0833880245531406,0.0069876076130178,0.0183762498552291,0.0716133266417017,43.1716666666667,27.6316666666667,0.163,63,29,61.25,46.5,0,0.4516,29.493789431,0.247,0.099456959,0.13,0.206984706,8768,7150,0.0431093472013138,0,0.397637339,0,0.563641277,0.247075628,0,2.39,0.7,121,-3.5,7.575150301,0,11.07214429,6.813627255,0.921843687,2.885771543,5.135135135,24301,4.442532556,0.00460534219694846,0.0120835424468208
1025,0.557594213932242,"Clarke","Alabama",0.472604442970822,42.5,0.272877984084881,0.0658985411140584,0.0116876657824934,0.00128481432360743,0.0828083554376658,0.0872430371352785,0.733663016601907,0.076827975980219,0.219620358090186,0.0347728779840849,0.00455901856763926,0.135071286472149,0.0849635278514589,37404,0.5158,0.0393853761921582,0.35376192158248,537,0.00236240053050398,0.119215105516475,0.880784894483525,0.0886521883289125,0.0104028514588859,0.01657824933687,0.0749751326259947,19.2623343445633,10.2059715791154,0.228,58.6666666666667,29,51.3333333333333,49,0,0.8471,19.663559978,0.317,0.1283643892,0.1203558346,0.2523508481,8768,7150,0.0166804034695239,0.049734748,0,0,0,0.186505305,0,2.61,-1.238,10,-1.1,8.391248391,0.720720721,12.80566281,6.396396396,0.656370656,4.208494209,14.96078431,22225,12.03656679,0.00381166890457833,0.00219661803713528
1031,0.758653198653199,"Coffee","Alabama",0.493186481359607,39.3,0.19757268398436,0.0546823584065658,0.0436684603770663,0.00632960396422903,0.106964500019357,0.0683093956873524,0.738706626900415,0.111515239688659,0.241996051256242,0.0398358561418451,0.00898145638960938,0.0961441678603229,0.155704386202625,55637,0.4327,0.0351349385320434,0.43434931257729,636,0.0398552127288916,0.0577049797608962,0.942295020239104,0.0850915566567303,0.0134915411714606,0.021524524795788,0.0687739537764701,75.9154764003997,34.073943455005,0.138,63,29,51.6,53.4,0,0.5408,29.59042195,0.219,0.0945766845,0.1210322581,0.1942582681,8768,7150,0.0169127809703935,0.74716426,1.111068097,0.050327126,1.831133135,1.260113817,0.034841857,2.56,0.755,232,-2.6,5.267722646,0.406262838,12.69913726,8.700415392,1.15031725,3.761354818,11.43378692,27806,6.408896224,0.00570466660432058,0.0138399597382989
1033,0.688625116545937,"Colbert","Alabama",0.479888992349966,42.4,0.207116904931442,0.0677548337623925,0.00752222891676252,0.00328641069178945,0.10576765076409,0.0513410381406219,0.748259782388322,0.07947556937217,0.195541436161472,0.0317503788501214,0.00507567873509704,0.105585072392324,0.129082908838619,48065,0.4467,0.0240589308643644,0.355477461647631,677,0.0194080809187344,0.0419009613640486,0.958099038635951,0.0661846597652042,0.00900111372806777,0.0173632031549543,0.0788555987657702,87.821890132444,42.6322034441843,0.138,52.8571428571429,29,42.8571428571429,40.7142857142857,0,0.4274,24.168040449,0.21,0.1176300578,0.1372992536,0.2091445435,8768,7150,0.0235783529694458,0.202661993,0.768654945,0.052947728,1.181282065,0.407149769,0.074857132,2.48,0.431,124,-3.5,7.152242467,0.183952348,14.91327961,6.21058164,1.182550806,4.095129643,9.748207729,25536,5.661038195,0.00036695965191255,0.00065728213835789
1045,0.724642820954504,"Dale","Alabama",0.493150962923879,37.3,0.212918805933803,0.0608397426791404,0.0680439150110599,0.00610832639974024,0.116951113095359,0.0826349006635956,0.71578106272473,0.0882940471434279,0.226738640745175,0.0421494815025265,0.00545893621770806,0.0943848042697404,0.123343547699738,47214,0.4479,0.0302037554934079,0.386336396324411,598,0.035067069829738,0.0724515585509688,0.927548441449031,0.0995799257259979,0.0124195872313655,0.0233374596667817,0.0843801367778071,87.5693062268979,41.0559425646858,0.162,58.5,29,45.9,56.1,0,0.7599,29.982801304,0.244,0.129055881,0.1362064379,0.2343310703,8768,7150,0.0290318284724997,0.765062808,1.130344786,0.048704264,1.552448404,1.073523145,0,2.55,0.059,282,-1.3,7.019006335,0.39457597,19.02856508,10.67022341,0.527953762,3.184394798,12.3756609,24645,8.156852888,0.00125694359972428,0.00198875743247357
1055,0.744384847468991,"Etowah","Alabama",0.482384085334994,41.4,0.230311052283256,0.0697629150932378,0.0141608595787753,0.00186864951142601,0.118513255732472,0.0632518394518628,0.714142039300634,0.0977100417762649,0.216072332308171,0.0391248491454822,0.00515825125549889,0.108294078716861,0.124722622338148,44637,0.4594,0.0287405229769457,0.37389757078756,639,0.0283022540584732,0.0537957797720107,0.946204220227989,0.0951454042901078,0.00955736364698096,0.0198835987075174,0.0846634484369525,187.219620633735,86.9226143838487,0.175,53.7,29,43.4,48,0,0.6564,58.780471375,0.288,0.0934439608,0.1122216599,0.2148386406,8768,7150,0.0138996338129867,0.162533577,0.666679643,0.176159147,1.390781329,0.689064507,0.271538132,2.6,-0.334,300,-8.4,5.974208675,0.077373974,14.56506448,4.764361079,1.538100821,4.196951934,11.84010328,24883,6.253823535,0.00431184500560733,0.000836999260326235
1073,0.426097444207115,"Jefferson","Alabama",0.473006609265098,37.7,0.280407167111327,0.0537745573611448,0.0203780620907106,0.00277407227746786,0.101944882367208,0.0678783652680087,0.660791687525183,0.124265881979463,0.248329493087558,0.0506351564394858,0.0156545597865632,0.0677358719379093,0.227570943487752,53901,0.5009,0.027844592862114,0.408291718049841,877,0.0409016492845016,0.0627756723818428,0.937224327618157,0.0818790928935241,0.0100821610477807,0.0166565607567305,0.0662351443123939,586.971802788579,273.940936229279,0.161,54.3571428571429,29,51.7142857142857,41.2857142857143,0,0.6621,60.312249375,0.226,0.1513814359,0.1676248687,0.1969630214,8768,7150,0.00238408103307231,0.408986175,1.208313122,0.113085132,1.737205918,1.382033713,0.344409411,2.47,-0.13,3602,-3.7,4.987311226,0.456402421,13.680597,5.446336649,2.192502148,8.198849813,10.59529872,32098,6.92757737,0.00370375310683972,3.03177298083919e-05
1077,0.71541983355511,"Lauderdale","Alabama",0.481524698560871,41,0.219931717014564,0.0684774622930982,0.0284044254289295,0.00424607805004538,0.100090755866719,0.0511798262673409,0.77833488334479,0.0730257571469007,0.237521068326203,0.0741172911534639,0.00767103159168503,0.0867150697955832,0.161502225679589,48094,0.4601,0.0224819053010392,0.393109862116372,675,0.0195989455032629,0.044459890845433,0.955540109154567,0.0818855611737759,0.00702277540083841,0.0156013656597087,0.054129391935693,128.757442546325,62.6022480663291,0.14,55.25,29,43.25,44.75,0,0.4468,43.609648317,0.179,0.1091323824,0.1259124088,0.2012583341,8768,7150,0.014646485068223,0.333851938,0.489433424,0.03241281,0.664462596,0.811400666,0.03241281,2.35,0.135,334,-3.5,6.763968526,0.091841041,16.40727778,6.80120138,1.097128106,4.229652245,7.462024615,28033,5.737940805,0.00278953443632166,0.000313323825575868
