var	rel.inf
unemp_bens_possible	10.452170438431144
PctEmpFIRE	9.57388967623523
bachplus	8.83095614251467
poor_fair_health	8.352473858505542
pertrump	7.1197803245180085
dis35to64	6.329717155298935
PopChangeRate1819	6.27592596567815
PerCapitaInc	5.060298325124989
housing_density	4.750655794503878
no_health_ins	3.5819184608565737
police_accountability_score	3.4704503143005074
inundergrad	3.0354595104477275
