Model	Test_RMSE
Boosting	0.00476896164154608
Intercept-only	0.00489064400479212
Ridge	0.00491329005733759
Lasso	0.00491329005733759
Elastic_Net	0.00491329005733759
Random_Forest	0.004946480482618712
