feature	coefficient
housing_density	1.832291220528375e-39
pop_density	1.809344778355859e-39
pertrump	-1.1325385083461491e-39
unemp_bens_possible	-1.1077756501084425e-39
police_funding_score	-1.0568402555160494e-39
gini	9.033074970910598e-40
Marriedcouplefamily	-8.898268949687787e-40
no_health_ins	8.826603083910574e-40
pct_child_in_pov	8.673994774279876e-40
svi_overall	8.645872109635075e-40
